he_test ['העומד' 'שפסלו' 'האקס']
העומד (HVMD):	haomed	['haomed', 'homed']
וקונין (VQVNYN):	vkonin	['vkonin']
קיפ (QYF):	kype	['kiph', 'keyp']
העלוהו (HLVHV):	heeluhu	['heeluhu']
נשכן (NSCHN):	nishkan	['naskan', 'nshakhan', 'nishkon', 'nshaken']
בתורשה (VTVRSH):	btorshah	['btors']
בשטירק (VSTYRQ):	bishtirek	['bestyrek']
וצמאת (VTZMT):	vtsimat	['vtsameth']
גרמניא (GRMNY):	garmanya	['garmanaya']
וכנורות (VCHNVRVT):	vknorot	['vkinorot']
וכוויים (VCHVVYYM):	vkavuiim	['vkvuyim']
אתקצץ (TQTZTZ):	itkatsets	['itkatsats', 'itktsats']
הנער֔ים (HNR_YM):	hanaara֔yim	['hanari֔im']
בעזים (VZYM):	bazim	['bhizaim', 'baizaim']
נירואנה (NYRVNH):	niruana	['nyrvana', 'nyrvan']
אתננו (TNNV):	etnenu	['etnano', 'etnenu']
וכהם (VCHHM):	vkhaam	['vkhaem']
נקסט (NQST):	nekest	['nekst']
דאתמתחא (DTMTCH):	dhitmtaka	['dhitmatkha']
לאביתר (LVYTR):	lavter	['levyatar']
סחיטא (SCHYT):	skhita	['skhita']
צחא (TZCH):	tsakha	['tsika']
בארבעת (VRVT):	barbaat	['barbat', 'barbaat']
מידיו (MYDYV):	midyo	['miyadav']
לתחוב (LTCHVV):	litkhov	['litkhov']
נופ (NVF):	nofa	['nofe', 'noph', 'nupi']
כל־הנשים (CHL_HNSYM):	kal-hanashim	['kal-hanashim']
מסניכון (MSNYCHVN):	msaneikhon	['msaneikon']
דשיילתון (DSYYLTVN):	dshayiltun	['dshayiltun']
דאתרגיז (DTRGYZ):	dhitrgiz	['dhitrgiz']
דקמטין (DQMTYN):	dkamtin	['dikmatin']
השנייה (HSNYYH):	hsenye	['hasniya']
וכשקא (VCHSQ):	vksheka	['vkshaka']
סארשטי (SRSTY):	saresti	['sarshti']
מניאק (MNYQ):	menyak	['manyak']
מבולבלים (MVVLVLYM):	mvulbalim	['mvulbalim']
הביטים (HVYTYM):	habetim	['habitim']
בושני (VVSNY):	busheni	['boshni']
משביר (MSVYR):	mashbir	['mashbyr', 'masbir', 'mashbir']
התפצלה (HTFTZLH):	hitpatsla	['hitpatzlh']
ירומו (YRVMV):	yromo	['yar,umu', 'yeromu']
וטהרים (VTHRYM):	vtaharim	['vthorim']
מפונון (MFVNVN):	mipunon	['mipunon', 'mponon']
והבורים (VHVVRYM):	vhaborim	['vhaburim']
תמעד (TMD):	timad	['timad']
בהלב (VHLV):	bhalev	['bhalev']
ולבננא (VLVNN):	vlivnana	['vlivnana']
המחרפין (HMCHRFYN):	hamkharpin	['hamkharpin']
את־נחלתנו (T_NCHLTNV):	et-nakhalatenu	['et-nakhalatenu']
דסבין (DSVYN):	dsavin	['dsavin']
מתרברבין (MTRVRVYN):	mitravrvin	['mitravrvin']
ישיבהו (YSYVHV):	yshivahu	['yshivehu']
בנפשו (VNFSV):	bnafsho	['bnafsho', 'bnafsh,o']
מהספקות (MHSFQVT):	mehasafkot	['mehaspekot']
וידפק (VYDFQ):	vyidpek	['vyidpok']
ברכת־אם (VRCHT_M):	birkat-em	['birkat-em']
לכנישתא (LCHNYST):	likhnishhta	['likhnishhta']
ששאבו (SSVV):	sheshaavu	['sheshaavu']
במפנים (VMFNYM):	bmifnim	['bmifnim']
ואפרע (VFR):	vefra	['vefra']
יילוד (YYLVD):	yilod	['yilod']
המשרתים (HMSRTYM):	hamshartim	['hamshartim']
ולפשפש (VLFSFS):	vlpashpashpash	['vlpashpesh']
וחישני (VCHYSNY):	vkhishanei	['vkhayshanei']
דוואני (DVVNY):	dvavani	['duavni', 'davavni']
אתקטרת (TQTRT):	itkatarat	['itktarat']
שהטעה (SHTH):	shehataaa	['sheita']
אגודלין (GVDLYN):	agudalin	['agudalin']
בנגי (VNGY):	bnagi	['bangi']
בתועבות (VTVVVT):	btoavot	['btoavot']
מרגליטא (MRGLYT):	marglita	['margalita']
אם־יעלה (M_YLH):	im-yaale	['im-yaale']
אל־תשלחו־בו (L_TSLCHV_VV):	al-tishlkhu-bo	['al-tishhlkhu-vo']
ותחז (VTCHZ):	vtakhez	['vatokhez', 'vtakhaz']
פילם (FYLM):	filam	['pilm', 'film']
דרווחי (DRVVCHY):	drauavke	['dravukhei']
שנשתטה (SNSTTH):	shenishhtatae	['shenishhtatah']
תלמ (TLM):	tlam	['tlme', 'tlma']
שכשבאין (SCHSVYN):	shekshebain	['shekshebain']
בצללים (VTZLLYM):	batslalim	['batsllim', 'batslalim', 'bitsllim']
קרטיניזם (QRTYNYZM):	kartinizm	['kretynizm', 'kretinizm']
בגיני (VGYNY):	bginei	['bginei', 'bgini', 'bginay']
ופונים (VFVNYM):	ufonim	['ufonim']
טיצה (TYTZH):	titsa	['titse']
למנשי (LMNSY):	lmanshe	['lminshe', 'lamnashi']
מקריבי (MQRYVY):	makrive	['mikarive', 'makrive']
שכרונה (SCHRVNH):	shekarona	['shikrona']
הזית (HZYT):	hazait	['hzayt', 'hazaayat', 'hzyit', 'hazayat', 'hazayit', 'hazaayit']
ובולנלה (VVVLNLH):	vbolnele	['vbolanle']
פטרוזינו (FTRVZYNV):	petrozino	['petrozino']
אנטזיס (NTZYS):	antzis	['entazis']
יקראונני (YQRVNNY):	ykaruneni	['yikraunni']
גישפטן (GYSFTN):	gishpatan	['gisheftn']
משקיט (MSQYT):	mashkit	['mashkit']
ונהרגנו (VNHRGNV):	vnahargenu	['vnahargenu']
הוא־חדש (HV_CHDS):	hu-khodesh	['hu-khodesh']
האגיטפרופ (HGYTFRVF):	haagitprup	['hagitprop']
משניאות (MSNYVT):	misoniut	['msneiot']
והאברים (VHVRYM):	vhaavarim	['vhaevarim', 'vhaavarim']
מותיה (MVTYH):	motya	['moteyh']
משפחותם (MSFCHVTM):	mishpkhotam	['mishpkhotam']
מונטאנדר (MVNTNDR):	montander	['montandr']
ןימך (NYMCH):	nimokh	['nymki']
המלעס (HMLS):	hamlaas	['hamilas']
והשמות (VHSMVT):	vhashmot	['vhashemot']
מי־האיש (MY_HYS):	mi-haish	['mi-haish']
ויגעילם (VYGYLM):	vyagilem	['vyagilem']
והתרוצים (VHTRVTZYM):	vhaterutsim	['vhaterutsim']
מפלוגתת (MFLVGTT):	miplugtat	['miplugtat']
וילכדו (VYLCHDV):	vayilkdu	['vyilakdu', 'vayilakedu', 'vayilkdu']
דסדיק (DSDYQ):	dsadik	['dsadik']
הגנדיוה (HGNDYVH):	hgandiva	['hgandyuh']
ואתבדרון (VTVDRVN):	vitbadrun	['vitbadrun']
בדחלתא (VDCHLT):	bdakhalta	['bdakhalta', 'bidkhalta']
ועולם (VVLM):	volam	['volam']
צדיקא (TZDYQ):	tsadika	['tsadika']
בבאסה (VVSH):	bbasa	['bbasa']
באונות (VVNVT):	bonot	['baunot']
ומצע (VMTZ):	vmatsa	['vmatsa']
ביקה (VYQH):	bika	['byeke', 'bayeke', 'byek']
לכסות (LCHSVT):	lkasot	['lkasot', 'lkasut', 'liksut']
האביר (HVYR):	haavir	['haabir']
פויל (FVYL):	poyl	['foyl']
הדיחה (HDYCHH):	hidiakh	['hediakh', 'hediakhh']
ישתלימו (YSTLYMV):	yishhtlimu	['yishhtalimu']
ביטה׳ (VYTH_):	bite	['bite']
שמחצתי (SMCHTZTY):	shemkhitsati	['shemakhatsti']
הורתם (HVRTM):	horatam	['horatam', 'horotam', 'h,oratam']
דושגוי (DVSGVY):	dushagoi	['dusgoyi']
לודג (LVDG):	ludeg	['ludg']
כל־הממלכות (CHL_HMMLCHVT):	kal-hamamlakhot	['kal-hamamlkot', 'kal-hamamlakhot']
מסמורטטים (MSMVRTTYM):	msmortetim	['msmurtatim']
ידעולפ (YDVLF):	ydaulp	['yadulpa']
ב״ירכתי (V_YRCHTY):	brikti	['byarkete']
לבריה (LVRYH):	livriya	['livreyh', 'livriyh', 'livrih']
השקף (HSQF):	hashakef	['hsakaf']
יוחנן (YVCHNN):	yokhanan	['youknan', 'yokhanan', 'yukhanan', 'y,okhanan', 'yuֺkhanan', 'youkhanan']
השייכות (HSYYCHVT):	hashayikot	['hsayaikut']
והנן (VHNN):	vhanen	['vhinan']
מרבנןועם־הארץ (MRVNNVM_HRTZ):	merabennoam-haam	['merabananvam-haarets']
אלונתית (LVNTYT):	aluntyt	['alontit', 'aluntit']
ויתחייבון (VYTCHYYVVN):	vyitkhayvun	['vyitkhayyvun']
להסתדם (LHSTDM):	lhistadem	['lehistadem']
משכ (MSCH):	mashk	['mishk', 'mushki']
שבקא (SVQ):	shavka	['shavka']
את־כל־מגפתי (T_CHL_MGFTY):	et-kal-magpati	['et-kal-magefotay']
נקטע (NQT):	nikta	['nikta']
גברתן (GVRTN):	gvartan	['gvarten', 'gvartan']
לשיק (LSYQ):	lasik	['lsik']
למתכת (LMTCHT):	lmatekhet	['lmatekhet']
ושמיע (VSMY):	vshmia	['vshmia']
מהשלישי (MHSLYSY):	mehashlishi	['mehashlishi']
הסנקירטן (HSNQYRTN):	hsankiratan	['hsankyrtn']
מרקדו (MRQDV):	merkado	['merkado']
עפנה (FNH):	afna	['ofna']
ובצקת (VVTZQT):	uvtsikat	['uvatskat']
דבכורות (DVCHVRVT):	divkhorot	['divkhorot']
חטם (CHTM):	khatam	['khatam', 'khotm', 'khatm', 'khotem']
גואליך (GVLYCH):	goalecha	['goalayikh']
דיהוי (DYHVY):	dyahavei	['dihevi', 'dyehevei', 'dihavei', 'dihevei', 'diehevei', 'diyehevei', 'dyehue', 'dihue']
פורטריקית (FVRTRYQYT):	portrikit	['porterikit']
את־סודך (T_SVDCH):	et-sodkha	['et-sodekh']
ויב׳א (VYV_):	vayabi	['vayavoa']
סביבוננו (SVYVVNNV):	svivunenu	['svivonenu']
בנשמות (VNSMVT):	binshamot	['bnishmot']
באחיזה (VCHYZH):	baakhiza	['baakhiza']
בתגמול (VTGMVL):	bitgmul	['btigmul']
הנעלם (HNLM):	haneelam	['hanelam', 'haneelam']
והשניה (VHSNYH):	vhashhniyh	['vhashhniyh', 'vhashnih']
לכרכושי (LCHRCHVSY):	lkharkoshe	['lkirkushe', 'lkarkushe']
הצמחיםאל (HTZMCHYML):	hatsimkhimal	['hatsmakhimel']
כס׳ף (CHS_F):	kasef	['keshef']
ואלופון (VLVFVN):	valofon	['vilufon']
לוקרציה (LVQRTZYH):	lokratsya	['lukretsya']
קבלתן (QVLTN):	kiblatan	['kibaltan']
שייע (SYY):	sayya	['siyeya', 'shyaya', 'shyia']
צמל (TZML):	tsamel	['tsamal', 'tsemel']
הבקשה (HVQSH):	hbaksh	['habakaashh']
בשר־זרעו (VSR_ZRV):	bhsar-zroo	['bhsar-zroo']
ג׳סראג (JSRG):	jasrag	['jasrag']
בז׳ג (VZHG):	bjag	['bjeg', 'bhjeg']
יעקבאל (YQVL):	yaakavel	['yaakovel']
שורות־הבחורים (SVRVT_HVCHVRYM):	shorot-habkhorim	['shurot-habakhurim']
ונדבות (VNDVVT):	vnidvut	['vndavot']
שנתקצר (SNTQTZR):	shenitkatser	['shenitkatser']
בתקנה (VTQNH):	btakanah	['btakaana', 'batakaana']
רשלןאבל (RSLNVL):	raslnebl	['rashlanavl']
מה״ (MH_):	mhe	['mhi']
ונזבן (VNZVN):	vnizban	['vnizben']
על־מטות (L_MTVT):	al-matot	['al-mitot']
טרי־אינץ (TRY_YNTZ):	tri-ints	['tri-ints']
שמוציאים (SMVTZYYM):	shemotsiim	['shemotsiim']
וקטום (VQTVM):	vktom	['vkatum']
ליואי (LYVY):	livai	['livai', 'leyuai', 'levae', 'leyvae']
הגווסוס (HGVVSVS):	hgouvsos	['hgvvsos']
עולמך (VLMCH):	olamcha	['ulamkha', 'olamakh', 'olamcha', 'olamekh']
שדובלט (SDVVLT):	shedovelet	['shedublet']
לרמונט (LRMVNT):	lrimont	['lermont']
בזכרוני (VZCHRVNY):	bzakruni	['bzikhruni']
ותרווח (VTRVVCH):	vtirvukh	['vtirvavkh']
דצמח (DTZMCH):	dtsameakh	['dtsamakh']
המסרק (HMSRQ):	hamsarek	['hamasrek']
מעניניו (MNYNYV):	maaninav	['meinyanav']
לא־הכין (L_HCHYN):	lo-hikin	['lo-hekin']
בלייעל (VLYYL):	blayayel	['vlyyaal']
ויתכניש (VYTCHNYS):	vyitkneysh	['vyitknish', 'vyitkanesh']
דאחוה (DCHVH):	daakhuha	['dakhuha', 'dakhva', 'dakhava', 'daakhuha']
פגיה (FGYH):	pgayh	['pageha', 'pageyha']
לאפסים (LFSYM):	lapasim	['lafsayim']
ונרוממה (VNRVMMH):	vniromma	['vnromma', 'vnrumma', 'vnromm']
דגוונא (DGVVN):	dgauavna	['dgavvna']
תצ (TTZ):	ttse	['ttsu', 'ttsh', 'ttsa', 'ttse']
נשרוף (NSRVF):	nishrof	['nisrof']
לתמורת (LTMVRT):	litmurat	['litmurat']
תקופתיות (TQVFTYVT):	tkufatiut	['tkufatiut']
תרדמה (TRDMH):	tirdme	['tardema']
ובקרבנא (VVQRVN):	vvkarbna	['vvkarbna', 'vvkarbana']
ישובי (YSVVY):	yshuvi	['yishuve', 'yasuvi']
שע׳ל (S_L):	shal	['sughel']
נטרתא (NTRT):	ntarta	['ntarta']
המפרך (HMFRCH):	hamfarekh	['hamfarekh']
ומשאו (VMSV):	vmishau	['vmashao', 'vmasoao']
השואן (HSVN):	hsoan	['hsoen']
מפחדים (MFCHDYM):	mpakhadim	['mpakdim', 'mepkhdim', 'mpakhadim']
במדינה (VMDYNH):	bimdina	['bimdina', 'bimdin', 'bamdin', 'bmedina', 'bamdina']
מבחר־עמקיך (MVCHR_MQYCH):	mibkhar-amkecha	['mivkhar-amakayikh']
והקצת (VHQTZT):	vhakatsat	['vhuktsat']
ואבוקה (VVVQH):	vaavuka	['vaavukh']
סילוה (SYLVH):	siluha	['silva']
יטפטף (YTFTF):	yitaftef	['ytaftef']
אתערבבא (TRVV):	itarbava	['itarbba']
שהפקרות (SHFQRVT):	shehapakrut	['seefkrut']
האוס (HVS):	haus	['haus']
כראכר (CHRCHR):	kirker	['krakir']
בושע (VVS):	bosha	['bose']
כשרואין (CHSRVYN):	ksheruin	['ksheroin']
שיעזו (SYZV):	sheyaazu	['syaezv']
וחרבונה (VCHRVVNH):	vkharbona	['vkharvuonh']
קנינו (QNYNV):	kinyano	['kinyano', 'kaninu']
ומתחפש (VMTCHFS):	vmitkhapes	['vmitkpes']
דפקדין (DFQDYN):	dpakdin	['dpakdin']
תמוחזר (TMVCHZR):	tmekhzor	['tmukzar']
ואיענש (VYNS):	vaianash	['vianash']
לונדק (LVNDQ):	londek	['londek']
למחרתם (LMCHRTM):	lmakharatam	['lmakoratam']
תשקטי (TSQTY):	tishkti	['tishkoti']
בבאס (VVS):	babas	['bbas']
באבולה (VVVLH):	babola	['bevolh']
עקבם (QVM):	ikvam	['akevam']
החלל (HCHLL):	hakhelel	['hekhalal', 'hekll', 'hkhall', 'hkhalal', 'hakhalal']
דיכיל (DYCHYL):	dyakil	['dyakeyl', 'dyakhil']
פרוגסטרון (FRVGSTRVN):	progastron	['progestron']
ידותיהם (YDVTYHM):	ydotehem	['ydoteyhem']
דנצו (DNTZV):	dnatsu	['dintso', 'dnatsu']
מזרחי (MZRCHY):	mizrkhei	['mizrakhi']
בגבור״ה (VGVVR_H):	bigvura	['bigvura']
גבתית (GVTYT):	gabatit	['gvatit']
כנצח (CHNTZCH):	knetsakh	['knetsakh']
נוגנים (NVGNYM):	nognim	['nognim']
נשברה (NSVRH):	nishbra	['nishbara', 'nisbara', 'nishbra', 'nsbara']
דמחשבי (DMCHSVY):	dimkhashbei	['dimkhashbei']
באחד (VCHD):	bakhed	['baakhad', 'bakd', 'bekhad', 'bakhid', 'bakhad', 'baekhad', 'bhakd', 'bekd', 'biekhad']
נמנעו (NMNV):	nimnu	['nimnu']
ברביז (VRVYZ):	barbiz	['brebiz']
ללח (LLCH):	llekh	['lleakh']
צו״ל (TZV_L):	tsol	['tsuil']
דהוקה (DHVQH):	dhuka	['dhoka']
ודולגים (VDVLGYM):	vdolgim	['vdolgim']
מהלחם (MHLCHM):	mehalekhem	['mehalekem']
כאבין (CHVYN):	kavin	['kevin']
זיקה (ZYQH):	zika	['zikhi', 'zika', 'zyek']
הג׳יואת (HJYVT):	hjiyot	['hjiyvath']
לופטהאוס (LVFTHVS):	luptaeus	['lofthaus']
אשתרום (STRVM):	ishhtrum	['istrum']
ואתכוון (VTCHVVN):	vitkavvn	['vitkhuavn', 'vitkavavn', 'vitkavivn', 'vitkvavn', 'vitkavevn', 'vitkauevn', 'vitkauavn']
ובזגים (VVZGYM):	vvzagim	['vvzagim', 'uvazaagim']
וטלם (VTLM):	vtlam	['vatelem']
וכסויה (VCHSVYH):	vkisuya	['vkisuiah']
ולהקימכם (VLHQYMCHM):	vlhakimchem	['vlahakimchem']
דיבן (DYVN):	dyaven	['divon']
ותאלצהו (VTLTZHV):	vataltsehu	['vatalatsehu', 'vataltsehu']
לאשפוז (LSFVZ):	lashpuz	['lahispuz']
עלוט (LVT):	alut	['alut']
להסקל (LHSQL):	lhisakel	['lhisakel']
באמ (VM):	bem	['bhimh', 'bmh', 'baemh']
מרונית (MRVNYT):	mronit	['maronit']
והודענא (VHVDN):	vhodana	['vhodana']
והעששיות (VHSSYVT):	vhaasheshayot	['vhaashashiot']
תפתחון (TFTCHVN):	tiftkhun	['tiftkhun']
שמתעכבת (SMTCHVT):	shemitakevet	['shemitakevet']
להסחף (LHSCHF):	lhaskhaf	['lhisakhef']
חתנתו (CHTNTV):	khatanto	['khatnato', 'khatunato', 'khotanto']
וציציס (VTZYTZYS):	vtsitsis	['vtsitsis']
באייוור (VYYVVR):	biuavr	['bayeyuevr']
הפרס (HFRS):	hpers	['hpras', 'hperes', 'haperes', 'hapras', 'hfers']
מחריבנא (MCHRYVN):	makharivna	['makarivna']
דכשיגרר (DCHSYGRR):	dikhshigrar	['dikhsheyigror']
רמיזתו (RMYZTV):	rmizato	['rmizato']
בעונינו (VVNYNV):	bonenu	['baaoneynu']
ב״הואי (V_HVY):	bhhoi	['bhuvai']
תודות (TVDVT):	todot	['todot']
ותסגר (VTSGR):	vtisgar	['vatisgor', 'vatisager']
שטחה (STCHH):	shetaakha	['satkh', 'sitkh', 'shitkh']
משערים (MSRYM):	mishaarim	['mshaarim']
מחלישים (MCHLYSYM):	makhlishim	['makhalishim']
מגררות (MGRRVT):	migrarot	['mgorarot']
אמנם״ (MNM_):	amnam	['amnam']
בחולקא (VCHVLQ):	bkholka	['bhkhulaka', 'bhkhulka']
שבישא (SVYS):	shebisha	['shvisha']
יגורובנה (YGVRVVNH):	ygorovanh	['yegorovn']
גזלנו (GZLNV):	gizalnu	['gazalnu']
ואתכל (VTCHL):	vatkal	['vitkal', 'vatkal']
ש״הושיעה (S_HVSYH):	shosia	['shoshia']
דינגג׳ואו (DYNGJVV):	dyingjou	['dingjou']
שאבי (SVY):	savi	['shaavi', 'sebi', 'saavi', 'savi', 'sheavi']
בבוקה (VVVQH):	bvuka	['bboka']
יפטירו (YFTYRV):	yaftiru	['yaftiru']
אך־שתים (CH_STYM):	akh-shhteim	['akh-shhtayim']
בזבוז׳ניקים (VZVVZHNYQYM):	bizbujenikim	['bezbojenikim']
קלאודיה (QLVDYH):	klaudiyh	['koluidi']
נדליק (NDLYQ):	nadlik	['nadlik']
לפרולטריון (LFRVLTRYVN):	lproletaryon	['lproletaryon']
בחטאך (VCHTCH):	bkhatakh	['bkhataakh']
מרזמ (MRZM):	marzam	['mrazamh']
עקמה (QMH):	akamh	['ikm', 'akumh']
שהסירה (SHSYRH):	shehasira	['shasir']
דשרטוטיהון (DSRTVTYHVN):	dhsirtuteyhon	['dshirtuteyhon']
בגפסית (VGFSYT):	bigpasit	['bgifsit']
דתשובה (DTSVVH):	ditshuva	['ditshuva', 'ditshuvh']
יתוב (YTVV):	ytuv	['yatuv', 'yetuv', 'ytuv']
הרום (HRVM):	hrom	['hrom', 'harum']
בחפניו (VCHFNYV):	bkhapanav	['bkhafnav']
פגיעתן (FGYTN):	pgiatan	['pgiatan']
בארץ״נפער (VRTZ_NFR):	berets	['baaretsnpar']
המאזנים (HMZNYM):	hmaznim	['hmaazanim', 'hmoaznayim', 'hamuzaanim']
בני־פחת (VNY_FCHT):	bnei-pakhat	['bney-pakhat']
כנדה (CHNDH):	knadh	['knidh', 'kanidh']
שמבד (SMVD):	samvad	['shambad']
צאל (TZL):	tsal	['tsli', 'tseel']
אעליכון (LYCHVN):	aalekhon	['aaleikon']
והתנחלתם (VHTNCHLTM):	vhitnakhalatam	['vhitnakhaltem']
לכרת (LCHRT):	lakeret	['likrat', 'lkrot', 'lkharet', 'likhrot']
הומרו (HVMRV):	humaru	['homro']
אארנדיל (RNDYL):	aerndil	['earendil']
הפלמחניק (HFLMCHNYQ):	hplemkhanik	['hapalmakhnik']
אתפרסא (TFRS):	itprasa	['itparsa']
כשמי (CHSMY):	kishmi	['ksemei', 'kishmi']
הבועל (HVVL):	haboel	['haboel']
לא־שכח (L_SCHCH):	lo-shakhakh	['lo-shakhakh']
למקברי (LMQVRY):	lmikbre	['lmikbri']
באסורי (VSVRY):	bhisurei	['bhisurei']
ממחשבם (MMCHSVM):	mimakhashvam	['mmakhsvam']
וכל־גבולך (VCHL_GVVLCH):	vkhal-gvulecha	['vkhal-gvulekh']
העמר (HMR):	haamor	['homr', 'homer', 'hamer', 'haomer']
אנג׳אלי (NJLY):	anjali	['anjali']
דרמי (DRMY):	dramei	['dramei', 'drami', 'drame']
הנכה (HNCHH):	hnakh	['hnek', 'hinka', 'hnake']
שה״נ (SH_N):	sna	['shna']
שיתיבש (SYTYVS):	sheyityabesh	['sheyityabesh']
מגירעון (MGYRVN):	magiraon	['migerun']
שיבלעו (SYVLV):	sheyivlau	['sheyibalu']
וחנגי (VCHNGY):	vkhangi	['vkhinge']
רציון (RTZYVN):	ratsyon	['ritsayon']
בהדליה (VHDLYH):	bhadlaya	['bhadlayh']
פלקתא (FLQT):	pilkata	['pilakta']
כי־עבדים (CHY_VDYM):	ki-avadim	['ki-avadim']
בלקין (VLQYN):	bilkin	['belkin']
קנניסה (QNNYSH):	kannisa	['kenenisa']
לדגברא (LDGVR):	lidgabra	['lidgavra']
לסמיכות (LSMYCHVT):	lismikot	['lasmikhut']
שילניצה (SYLNYTZH):	silnitsa	['silnitsa']
בקבלת (VQVLT):	bikbalat	['bkibolet', 'bkabalat', 'bekbolt']
וניחותא (VNYCHVT):	vnikhuta	['vnikhuta']
והרוכלין (VHRVCHLYN):	vharokhlin	['vharokhlin']
על־מצחות (L_MTZCHVT):	al-mitskhot	['al-mitskhot']
ואזדקיף (VZDQYF):	vizdakif	['vizdkif']
ואתקבלן (VTQVLN):	vitkablan	['vitkablan']
נעתיר (NTYR):	naatir	['naatir', 'natir']
ודומה (VDVMH):	vdoma	['vdome', 'vdoma', 'vduma']
הקוסמי (HQVSMY):	hakosmi	['hakosmi']
שטימת (STYMT):	stimat	['stimat']
תרקית (TRQYT):	tarkit	['trakit']
ובדידות (VVDYDVT):	uvdidot	['uvdidut']
נמחל (NMCHL):	nimkhal	['nimkhal']
לאקען (LQN):	lakan	['laken']
היטורים (HYTVRYM):	haytorim	['hyturim']
וסכינא (VSCHYN):	vsakina	['vsakina']
המבטח (HMVTCH):	hamivtakh	['hamivtakh', 'hmvatekh', 'hamuvtakh']
הורידים (HVRYDYM):	horidim	['havridim', 'hauridim']
ובקומה (VVQVMH):	vvkoma	['vvkumah', 'vvkoma']
לעטורי (LTVRY):	laaturei	['liturei']
כשנשאת (CHSNST):	kshenasat	['kshenisoet', 'ksheniset', 'kshenisoat']
דרחימת (DRCHYMT):	dirkhimat	['dirkhimat']
שיאורו (SYVRV):	syauro	['sheyeoru', 'syoro']
יקלט (YQLT):	ykalet	['yiklot', 'ykalt']
וימרה (VYMRH):	vayimorh	['vyimrh']
דאיטלע (DYTL):	ditla	['ditla']
סודרא (SVDR):	sudra	['sudara', 'sudra']
ויפשפש (VYFSFS):	vayifshafesh	['vipashpesh']
מאורסטס (MVRSTS):	morsets	['morestes']
לירותת (LYRVTT):	lirotet	['lirutat']
רמחיהם (RMCHYHM):	ramkheyhem	['ramkehem']
צוואנבאנג (TZVVNVNG):	tsavvang	['tsvvanbang']
ומתרגם (VMTRGM):	vmitargm	['vmtargem', 'vmturgam', 'vmitargem']
דאדור (DDVR):	daadur	['dedur']
וזוללני (VZVLLNY):	vzollani	['vzollani']
יעצ (YTZ):	yaets	['yaaats']
אזדה (ZDH):	ezda	['azed']
נדרנו (NDRNV):	nidarnu	['nadarnu']
גדגד (GDGD):	gudgod	['gudgod']
לגארד (LGRD):	lgared	['lagard']
פולס (FVLS):	pols	['pols', 'puls']
מבחינים (MVCHYNYM):	mavkhinim	['mavkhinim']
עפעפיו (FFYV):	afafav	['afapav']
המלעיגים (HMLYGYM):	hamaligim	['hamaligim']
וקפלו (VQFLV):	vkiflo	['vkiplu', 'vkaaflv']
הייזער (HYYZR):	hayyzer	['hayyzer']
את־הממלכה (T_HMMLCHH):	et-hamamlakha	['et-hamamlakha']
ככולי (CHCHVLY):	kkholi	['kkule']
מן־הבטן (MN_HVTN):	min-habatan	['min-habaten', 'min-habeten']
וכשרואים (VCHSRVYM):	vksheroim	['vksheroim']
נתנה׳ (NTNH_):	ntane	['ntanah']
פתרי (FTRY):	patrei	['patrei']
האמללים (HMLLYM):	hamlalim	['haumlalim', 'hamellim', 'humlalim', 'humllim', 'haamelalim', 'hamelalim']
ואים (VYM):	vaim	['viom', 'vayom', 'viem', 'vaim', 'vaym']
החפפה (HCHFFH):	hkhafpa	['hkhpepa']
כשנפנה (CHSNFNH):	kshenafna	['kshenifne']
תשחר (TSCHR):	tishkor	['tshakher']
אוטואימוניים (VTVYMVNYYM):	otoyamniyim	['otoimonyim']
מלס (MLS):	malas	['mles', 'meles']
עוקבים (VQVYM):	okvim	['okvim']
בצותו (VTZVTV):	btsuto	['btsauto', 'btsaoto', 'btsauֺto', 'btsauoto']
קוראהו (QVRHV):	korehu	['korehu']
אתחלל (TCHLL):	itkhalel	['itkhalal']
מבשריהון (MVSRYHVN):	mibisrehon	['mibisrehon']
גירומין (GYRVMYN):	girumin	['gerumin']
מקדימים (MQDYMYM):	makdimim	['makdimim']
מאארליצע (MRLYTZ):	maarlitsa	['maaralytsa']
שכניו (SCHNYV):	shkenav	['shkenav']
והאל֙ (VHL_):	vhaal֙	['vhael֙']
גזירים (GZYRYM):	gzirim	['ghzirim']
החציצה (HCHTZYTZH):	hakhatsitsa	['hakhatsitsa']
הקוקיה (HQVQYH):	hkokya	['hakukiyh']
התחברת (HTCHVRT):	hitkhaberet	['hitkhabarth']
לגרון (LGRVN):	ligron	['lagaron']
וסאלם (VSLM):	vsalem	['vsalem']
ותפחו (VTFCHV):	vtipkhu	['vtafkhu']
סאלאדאנג (SLDNG):	saldang	['sladaeng']
בג׳נדינג (VJNDYNG):	bjending	['bjending']
את־כל־עמו (T_CHL_MV):	et-kal-amo	['et-kal-amo']
רכבל (RCHVL):	rikbal	['rakevel', 'rakbal']
ויטבסק (VYTVSQ):	vyitbasek	['vitebsk', 'vytebsk', 'vitevsk']
את־ריבנו (T_RYVNV):	et-rivenu	['et-ribenu']
ה״דלאל (H_DLL):	hdlalel	['hdilal']
השתא (HST):	hashata	['hashhta', 'hashata', 'hashaata', 'hshata', 'hashta', 'hsto']
תעזה (TZH):	taaza	['taizah']
נושאים (NVSYM):	noshim	['nosim']
ב״בשנאיהם (V_VSNYHM):	bbshaneihem	['bbhsoneyhem']
